Gene,BigSeries_TMA_WholeSeries_Correlation
bcl2_c_v2.ppnc,-0.037666219123353065
ca9_b0v123_v1n,-0.16142370871054418
ck56_v1nc,-0.09404507707423393
cldn3_v1nc,-0.19093269248674416
cryab_b0v12_v1.1n,-0.29099235629680203
cycline_v1.1.ppn,-0.18385061391671592
ecad_v1nc,0.1290487544371527
egfr_v1nc,-0.046352231356000695
ephb4_v1.1nc,-0.06574794428883453
er_dcc_v1n,0.0998326145681818
ezh2_v1.ppnc,-0.4359514629270828
foxa1_v1.ppnc,0.4414528216661713
gata3_v1nc,-0.0019287860892086236
h3k27me3_v1.1.ppnc,0.12243095469563087
her3_v1.1nc,-0.11927341594482047
her4_v1nc,0.1537212488864996
hsp27_v1nc,0.11843201367125873
igf1r_v2.0.1.ppn,-0.20822844862503054
igfbp2_v1nc,0.06080479500464501
inpp4b_c_v1.ppn,0.1780336893499181
ki67_c_v1.6nc,-0.24409825571450022
kit_v1nc,-0.09924158135938262
krt5_v1nc,-0.24887306327694358
ku7080_c_v1nc,0.0026277947310360656
mdm2_v1nc,-0.10024939731022259
nestin_v1nc,-0.40025135276296375
p16_c1v1nc,-0.5723598877765406
p27_v1nc,-0.023883072422394642
p53_c_v1.1.1.pnnc,-0.2808987121244324
pcad_v1.1.ppnc,-0.2635347935862694
pgp_v1nc,-0.2895469737661682
pipki_v1nc,-0.12378307365370841
plau_c1v1,0.06116013946228427
podxl_v1nc,-0.37807607574197183
pr_v3nc,0.03841742073352742
psf_c_v1nc,0.06503416958042135
pten_v1nc,0.2271559605455963
ret_v1nc,-0.02101309443212429
skp2_v1nc,-0.12510370601870707
trim29_v1nc,-0.3710879052846395
yb1_v1.2nc,-0.10519875353427095
