Gene,MB09_TMA_WholeSeries_Correlation
bcl2_pp_v1n,-0.1458252361893194
birc5_pp_v1n,0.05884975971518745
cd163_c_v1n,-0.05133302337462637
ck56_c2v1n,-0.001077256038638702
ck5_c2v1n,-2.064873396118093e-16
ckit_c_v1n,-0.18933494430027914
cyclind1_pp_v1n,0.05106965691145296
ecad_pp_v1n,0
egfr_tsipp_v1n,-0.37868138507669047
ezh2_pp_v1n,0.27309089314589785
foxa1_pp_v1n,0.2975491808168698
h3k27me3_pp_v1n,-0.05925835228444157
inpp4b_c_v1.ppn,0.17416352217331885
ki67_pp_v1n,0.16256576714550017
nestin_tsipp_v1n,-0.44730554567063985
p16_qsipp_v1n,0.48274773244356745
pr_c_v1n,-0.022164526148420488
tp53_pp_v1n,-0.44975065867860153
