MBid,agency_id,MB09_id,bseries_id
MB.0000,,,
MB.0002,,,
MB.0005,,,
MB.0006,,,
MB.0008,,,
MB.0010,,,
MB.0014,,,
MB.0020,,,
MB.0022,,,
MB.0025,,,
MB.0028,,,
MB.0035,,,
MB.0036,,,
MB.0039,,,
MB.0045,,,
MB.0046,,,
MB.0048,,,
MB.0050,,,
MB.0053,,,
MB.0054,,,
MB.0056,,,
MB.0059,,,
MB.0060,,,
MB.0062,,,
MB.0064,,,
MB.0066,,,
MB.0068,,,
MB.0071,,,
MB.0079,,,
MB.0081,,,
MB.0083,,,
MB.0093,,,
MB.0095,,,
MB.0097,,,
MB.0099,,,
MB.0100,,,
MB.0101,,,
MB.0102,,,
MB.0106,,,
MB.0107,,,
MB.0108,,,
MB.0109,,,
MB.0110,,,
MB.0111,,,
MB.0112,,,
MB.0113,,,
MB.0114,,,
MB.0115,,,
MB.0116,,,
MB.0117,,,
MB.0119,,,
MB.0120,,,
MB.0121,,,
MB.0122,,,
MB.0123,,,
MB.0124,,,
MB.0125,,,
MB.0126,,,
MB.0127,,,
MB.0128,,,
MB.0129,,,
MB.0130,,,
MB.0131,,,
MB.0133,,,
MB.0134,,,
MB.0135,,,
MB.0136,,,
MB.0138,,,
MB.0139,,,
MB.0140,,,
MB.0142,,,
MB.0143,,,
MB.0144,,,
MB.0145,,,
MB.0146,,,
MB.0147,,,
MB.0148,,,
MB.0149,,,
MB.0150,,,
MB.0151,,,
MB.0152,,,
MB.0153,,,
MB.0154,,,
MB.0155,,,
MB.0156,,,
MB.0157,,,
MB.0158,,,
MB.0159,,,
MB.0160,,,
MB.0162,,,
MB.0163,,,
MB.0164,,,
MB.0165,,,
MB.0166,,,
MB.0167,,,
MB.0168,,,
MB.0169,,,
MB.0170,,,
MB.0171,,,
MB.0172,,,
MB.0173,,,
MB.0174,,,
MB.0175,,,
MB.0176,,,
MB.0177,,,
MB.0178,,,
MB.0179,,,
MB.0180,,,
MB.0181,,,
MB.0184,,,
MB.0185,,,
MB.0188,,,
MB.0189,,,
MB.0191,,,
MB.0192,,,
